1140,95270.27,23.46,62.48
1154,94355.83,23.06,59.46
1558,95155.81,26.53,44.38
1727,94679.57,28.34,38.28
1750,94327.88,26.31,46.37
976,95314.52,22.66,56.55
923,93616.77,23.87,50.76
1770,94962.39,24.92,55.53
1120,94982.91,26.29,45.7
1732,95099.81,24.62,57.97
977,95069.55,26.26,44.46
1824,94447.61,25.27,58.19
1731,94944.7,26.57,45.01
1023,94491.45,24.01,51.41
981,94932.5,25.95,46.26
1751,94621.91,26.7,49.18
1122,94683.96,25.92,50.87
1313,94426.63,24.23,56.28
1118,94441.33,24.99,49.53
1884,95210.2,27.8,42.03
1561,95039.95,25.99,43.24
1025,94946.73,25.64,46.25
1114,94773.52,26.79,42.78
1729,95330.52,24.79,52.6
1155,92616.37,24.12,45.73
1121,95067.16,27.68,45.6
1139,94748.38,24.99,58.61
925,94827.42,24.6,58.12
1123,94903.91,27.97,39.41
1793,94789.7,26.69,40.99
1138,94858.89,26.15,45.96
879,93920.2,24.65,47.32
1933,95303.79,23.92,54.59
1024,95033.08,29.06,39.44
1172,95161.97,24.18,52
1140,95266.66,23.37,63.4
1154,94351.41,23.14,59.66
1558,95156.86,26.51,44.41
1727,94689.89,28.31,39.29
976,95319.3,22.64,56.36
923,93612.73,23.87,49.55
1750,94320.67,26.38,46.31
1770,94967.03,24.89,54.95
1120,94987.6,26.23,45.62
1732,95099.15,24.53,57.69
977,95073.59,26.18,44.79
1731,94942.33,26.73,44.97
1556,94535.77,24.29,0.01
1023,94491.22,23.81,52.51
981,94933.88,25.97,46.13
1751,94632.21,26.56,50.04
1824,94440.69,25.65,57.73
1122,94676.93,25.59,51.97
1313,94427.28,24.22,56.23
1884,95215.69,27.98,41.52
1118,94440.55,24.97,48.96
1561,95045.38,25.85,43.55
1025,94952.01,25.79,46.54
1114,94789.59,26.66,43.72
1729,95331.09,24.69,52.58
1155,92614.8,24.07,43.36
1121,95064.32,27.68,46
1139,94754.65,24.82,58.53
925,94827.88,24.55,58.07
1123,94912.66,27.57,40.13
1793,94809.02,26.83,40.62
1138,94859.03,26.39,45.41
879,93919.02,24.48,47.63
1024,95030.38,29.11,39.41
1933,95314.48,23.82,54.85
1172,95155.15,24.19,51.68
1140,95258.14,23.37,63.22
1154,94350.36,23.01,59.89
976,95323.59,22.53,56.76
1727,94680.37,28.26,40.97
1558,95151.31,26.6,44.13
923,93614.87,23.76,50.51
1750,94326.61,26.12,47.12
1770,94966.13,24.61,56.35
1120,94983.46,26.19,45.88
1732,95088.45,24.45,58.63
977,95076.02,26.17,44.74
1556,94533.23,24.21,0.01
1731,94938.86,26.62,45.41
1023,94496.14,23.74,52.81
981,94933.19,25.96,46.07
1751,94618.53,26.69,49.69
1122,94679.71,25.35,52.46
1313,94428.37,24.28,55.13
1884,95207.16,27.89,41.84
1118,94440.77,24.98,48.77
1561,95042.29,25.87,43.62
1025,94949.7,25.58,46.81
1824,94440.3,25.76,56.91
1114,94776.69,26.29,45
1729,95337.95,24.67,52.97
1155,92621.75,24.1,44.9
1121,95062.91,27.69,45.62
1139,94747.31,24.81,58.96
925,94826.73,24.51,58.42
1123,94917.48,27.83,39.79
1793,94804.98,26.83,40.91
1138,94856.45,26.18,45.77
879,93922.19,24.45,50.37
1933,95310.12,23.7,55.52
1024,95031.27,29.14,39.16
1172,95158.77,24.16,51.8
1140,95267.81,23.23,63.07
1154,94349.69,23.16,60.24
976,95322.47,22.61,56.3
1727,94680.44,28.31,40.01
1558,95149.92,26.6,44.17
923,93612.95,23.75,50.22
1750,94324.14,26.35,46.89
1770,94961.73,24.45,58.13
1120,94981.78,26.16,45.9
1732,95097.84,24.41,58.05
977,95067.36,26.13,44.95
1556,94531.71,24.27,0.01
1731,94935.5,26.56,45.31
981,94931.66,25.92,46.27
1023,94505.98,23.65,52.93
1751,94617.83,26.67,49.5
1122,94665.72,25.48,51.83
1313,94434.83,24.34,55.36
1884,95214.27,27.86,41.79
1561,95031.66,25.86,43.61
1118,94443.17,24.97,49.14
1025,94946.09,25.41,46.44
1114,94786.89,26.32,44.22
1729,95331.88,24.58,53.35
1155,92625.33,24.13,44.09
1121,95060.9,27.72,45.73
1139,94745.34,24.88,58.74
925,94827,24.47,58.73
1123,94903.47,27.6,40.24
1824,94446.54,25.33,58.18
1793,94809.11,26.82,41.08
1138,94852.94,26.08,45.59
879,93928.42,24.35,52.4
1024,95022.05,29.08,39.29
1933,95313.67,23.66,55.54
1172,95165.06,24.19,51.94
1140,95267.84,23.25,63.37
1154,94347.91,23.13,59.39
976,95320.39,22.58,56.17
1727,94686.53,28.32,41.26
923,93618.14,23.72,51.15
1558,95151.71,26.45,44.64
1750,94321.3,26.28,47.28
1770,94958.8,24.7,55.89
1120,94974.7,26.13,46.11
1732,95099.05,24.45,58.35
977,95070.03,26.13,44.92
1556,94536.31,24.32,0.01
1731,94941.98,26.71,45
981,94931.13,25.92,46.49
1023,94492.33,23.6,53.46
1751,94623.47,26.56,49.67
1122,94675.3,25.38,52.12
1313,94431.57,24.53,55.11
1884,95211.46,27.65,42.04
1561,95039.93,25.82,43.76
1025,94942.76,25.44,46.44
1118,94438.5,24.8,50.22
1114,94782.59,26.38,45.08
1729,95329.92,24.68,53.18
1121,95059.17,27.34,45.63
1155,92627.98,23.88,45.75
1139,94737.75,24.83,59.23
925,94822.57,24.43,59.06
1123,94904.38,27.45,40.71
1793,94809.2,26.82,41.23
1138,94854.56,26.03,46.11
879,93921.58,24.1,53.94
1824,94407.95,25.23,57.85
1933,95307.27,23.75,54.67
1024,95021.73,28.91,39.57
1172,95164.69,24.23,51.77
1140,95269,23.13,63.87
1154,94343.6,23.12,60.11
976,95317.34,22.41,56.64
1727,94688.68,28.16,40.45
923,93616.27,23.67,52.7
1558,95147.36,26.52,44.62
1770,94957.34,24.68,55.47
1750,94322.03,26.5,47.15
1120,94985.61,26.11,46.11
1732,95098.86,24.39,58.32
977,95071.54,26.08,45.03
